fecha,costo,producto
2021-03-05 05:00:14,$5.54,bebidas
2020-05-24 18:49:56,$6.09,bebidas
2021-03-19 15:39:19,$7.23,bebidas
2019-12-24 03:55:41,$7.85,bebidas
2020-07-14 11:41:59,$12.13,bebidas
2021-03-24 23:14:39,$6.95,bebidas
2020-08-08 13:15:47,$6.54,bebidas
2021-03-28 13:16:08,$13.78,bebidas
2020-12-26 08:09:40,$6.18,bebidas
2020-10-02 01:12:17,$8.99,bebidas
2021-03-11 18:00:09,$14.41,bebidas
2020-05-20 15:30:35,$6.52,bebidas
2020-03-21 14:56:23,$11.95,bebidas
2020-06-14 09:25:52,$8.57,bebidas
2021-03-16 19:16:02,$8.40,bebidas
2020-07-07 09:20:15,$10.95,bebidas
2020-06-27 11:46:24,$14.93,bebidas
2020-05-31 06:06:14,$11.56,bebidas
2020-04-29 08:00:48,$12.49,bebidas
2020-10-14 06:07:54,$10.96,bebidas
2019-12-17 03:37:36,$8.51,bebidas
2020-12-25 08:27:30,$11.89,bebidas
2020-12-26 17:13:38,$11.66,bebidas
2020-10-16 18:37:58,$10.79,bebidas
2020-11-20 22:57:23,$14.20,bebidas
2021-01-18 10:57:20,$6.79,bebidas
2020-07-29 02:21:55,$7.38,bebidas
2020-10-31 22:39:12,$6.37,bebidas
2020-11-07 18:02:44,$12.78,bebidas
2020-01-31 06:51:21,$5.85,bebidas
2020-01-20 18:44:53,$7.59,bebidas
2020-11-09 02:28:14,$7.84,bebidas
2019-12-18 23:39:24,$10.86,bebidas
2020-08-17 21:51:13,$7.38,bebidas
2020-05-05 21:40:36,$11.72,bebidas
2021-04-17 17:59:52,$8.84,bebidas
2020-06-03 01:55:23,$8.24,bebidas
2020-12-15 22:12:03,$5.19,bebidas
2020-11-26 02:05:04,$5.69,bebidas
2020-05-24 07:09:39,$14.55,bebidas
2020-09-21 07:48:04,$5.92,bebidas
2020-09-02 05:45:57,$13.43,bebidas
2019-12-21 20:11:01,$5.79,bebidas
2020-06-03 08:14:04,$12.98,bebidas
2020-05-05 15:13:16,$13.38,bebidas
2020-01-30 19:43:36,$13.97,bebidas
2020-04-08 18:24:15,$6.12,bebidas
2020-07-27 21:10:59,$8.20,bebidas
2020-07-21 13:05:22,$10.70,bebidas
2021-01-08 11:06:11,$5.82,bebidas
2021-01-01 14:24:58,$6.23,bebidas
2020-07-04 23:20:41,$11.28,bebidas
2021-01-17 03:22:38,$12.77,bebidas
2020-06-29 09:19:27,$11.64,bebidas
2020-07-06 06:02:05,$8.47,bebidas
2020-12-09 20:01:35,$11.09,bebidas
2020-11-11 16:31:23,$8.21,bebidas
2021-03-21 12:38:36,$6.45,bebidas
2020-09-27 03:26:07,$7.68,bebidas
2020-02-12 19:58:31,$8.31,bebidas
2020-02-25 06:09:37,$13.65,bebidas
2020-11-16 11:40:21,$5.42,bebidas
2020-11-08 21:49:46,$9.53,bebidas
2020-09-01 12:41:14,$13.17,bebidas
2020-08-25 00:10:04,$11.42,bebidas
2020-02-06 07:51:20,$6.32,bebidas
2021-01-04 01:57:41,$9.30,bebidas
2020-06-27 04:48:27,$6.99,bebidas
2020-02-29 03:20:52,$11.53,bebidas
2021-04-18 19:02:04,$11.78,bebidas
2021-03-02 15:58:34,$5.58,bebidas
